joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5290747880935669,0.0,0.0,0.0,0.1808580607175827,0.0,0.0,0.0,0.18186259269714355,0.0,0.016461020335555077,0.0,0.012651758268475533,0.0,0.038269322365522385,0.0,0.06829747557640076,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5159410834312439,0.0,0.0,0.0,0.18248258531093597,0.0,0.0,0.0,0.18685241043567657,0.0,0.011565313674509525,0.0,0.012912018224596977,0.0,0.03556564822793007,0.0,0.07043827325105667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5075237154960632,0.0,0.0,0.0,0.18333369493484497,0.0,0.0,0.0,0.18993259966373444,0.0,0.008765900507569313,0.0,0.013065118342638016,0.0,0.033999040722846985,0.0,0.07176925241947174,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5044717788696289,0.0,0.0,0.0,0.1835014820098877,0.0,0.0,0.0,0.19089275598526,0.0,0.007765539456158876,0.0,0.013116252608597279,0.0,0.03343378007411957,0.0,0.07219944149255753,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5067596435546875,0.0,0.0,0.0,0.18302778899669647,0.0,0.0,0.0,0.18965867161750793,0.0,0.008176176808774471,0.0,0.013076027855277061,0.0,0.033671148121356964,0.0,0.07170486450195312,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.513795018196106,0.0,0.0,0.0,0.1818951666355133,0.0,0.0,0.0,0.18629290163516998,0.0,0.009707675315439701,0.0,0.012954696081578732,0.0,0.034551747143268585,0.0,0.07032395899295807,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5245853662490845,0.0,0.0,0.0,0.18005594611167908,0.0,0.0,0.0,0.18099600076675415,0.0,0.012405557557940483,0.0,0.012756243348121643,0.0,0.036090556532144547,0.0,0.06814701110124588,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5378011465072632,0.0,0.0,0.0,0.17731718719005585,0.0,0.0,0.0,0.1738777756690979,0.0,0.016273977234959602,0.0,0.012484334409236908,0.0,0.03827487304806709,0.0,0.06524287909269333,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5521148443222046,0.0,0.0,0.0,0.1736508011817932,0.0,0.0,0.0,0.16528891026973724,0.0,0.021184099838137627,0.0,0.012151111848652363,0.0,0.041020140051841736,0.0,0.061771754175424576,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661394596099854,0.0,0.0,0.0,0.1692209094762802,0.0,0.0,0.0,0.1558716893196106,0.0,0.026855263859033585,0.0,0.011778146028518677,0.0,0.0441591776907444,0.0,0.05800323188304901,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.578574538230896,0.0,0.0,0.0,0.16433915495872498,0.0,0.0,0.0,0.14641344547271729,0.0,0.03294568136334419,0.0,0.011392340064048767,0.0,0.0474964864552021,0.0,0.05425469949841499,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5883501172065735,0.0,0.0,0.0,0.15942753851413727,0.0,0.0,0.0,0.13772664964199066,0.0,0.03906978294253349,0.0,0.011023638769984245,0.0,0.05082013085484505,0.0,0.05084363743662834,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5947214365005493,0.0,0.0,0.0,0.1549968421459198,0.0,0.0,0.0,0.13059857487678528,0.0,0.0447939969599247,0.0,0.010703940875828266,0.0,0.05389980599284172,0.0,0.04806828126311302,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5973138213157654,0.0,0.0,0.0,0.15156933665275574,0.0,0.0,0.0,0.1256970465183258,0.0,0.0496501587331295,0.0,0.010463983751833439,0.0,0.05649235099554062,0.0,0.0461750365793705,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5961886644363403,0.0,0.0,0.0,0.14956609904766083,0.0,0.0,0.0,0.12344257533550262,0.0,0.05326563119888306,0.0,0.010326256044209003,0.0,0.05840916931629181,0.0,0.04531189426779747,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5917620658874512,0.0,0.0,0.0,0.14924432337284088,0.0,0.0,0.0,0.123979851603508,0.0,0.055329859256744385,0.0,0.010303965769708157,0.0,0.05949482321739197,0.0,0.04552360996603966,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5847166776657104,0.0,0.0,0.0,0.15066978335380554,0.0,0.0,0.0,0.12719345092773438,0.0,0.055627476423978806,0.0,0.010399827733635902,0.0,0.059642206877470016,0.0,0.046759944409132004,0.0
